Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,SNNPR,50.1005,23.5,11.71432,1388.879913
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Somali,102.1260884,23.5,11.71432,1440.905501
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Tigray,29.34096585,23.5,11.71432,1368.120379
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,BOKLOMAYO,59.23980876,23.5,11.71432,1398.019222
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,MELKEDIDA,77.98490186,23.5,11.71432,1416.764315
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,KOBE,67.70608958,23.5,11.71432,1406.485503
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,HALEWEYIN,72.06718671,23.5,11.71432,1410.8466
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,BURAMINO,90.93658782,23.5,11.71432,1429.716001
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,TONGO,67.71514847,23.5,11.71432,1406.494561
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,BAMBASI,59.24509311,23.5,11.71432,1398.024506
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,SHERKOLE,63.08505284,23.5,11.71432,1401.864466
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,PUGNIDO,77.09486663,23.5,11.71432,1415.87428
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,JEWII,96.28183191,23.5,11.71432,1435.061245
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,KULE,80.75188727,23.5,11.71432,1419.5313
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,TERKIEDI,91.10266734,23.5,11.71432,1429.88208
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,OKUGO,75.56316054,23.5,11.71432,1414.342574
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,AYSAITA,17.59436336,23.5,11.71432,1356.373776
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,DILLO,69.656769,23.5,11.71432,1408.436182
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,MEGADO,85.92954202,23.5,11.71432,1424.708955
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Afar,88.4616,30,11.71432,1482.748096
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Amhara,50.713,30,11.71432,1444.999496
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Benshangul,58.3692,30,11.71432,1452.655696
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Gambella,46.77985,30,11.71432,1441.066346
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Oromiya,63.8685,30,11.71432,1458.154996
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,SNNPR,50.1005,30,11.71432,1444.386996
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Somali,102.1260884,30,11.71432,1496.412584
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,Tigray,29.34096585,30,11.71432,1423.627462
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,BOKLOMAYO,59.23980876,30,11.71432,1453.526305
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,MELKEDIDA,77.98490186,30,11.71432,1472.271398
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,KOBE,67.70608958,30,11.71432,1461.992586
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,HALEWEYIN,72.06718671,30,11.71432,1466.353683
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,BURAMINO,90.93658782,30,11.71432,1485.223084
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,TONGO,67.71514847,30,11.71432,1462.001644
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,BAMBASI,59.24509311,30,11.71432,1453.531589
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,SHERKOLE,63.08505284,30,11.71432,1457.371549
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,PUGNIDO,77.09486663,30,11.71432,1471.381363
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,JEWII,96.28183191,30,11.71432,1490.568328
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,KULE,80.75188727,30,11.71432,1475.038383
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,TERKIEDI,91.10266734,30,11.71432,1485.389163
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,OKUGO,75.56316054,30,11.71432,1469.849657
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,AYSAITA,17.59436336,30,11.71432,1411.880859
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,DILLO,69.656769,30,11.71432,1463.943265
SPLIT PEAS,AUSTRALIA,884.104176,MOMBASA (KENYA),160,<NAZARETH>,308.468,MEGADO,85.92954202,30,11.71432,1480.216038
SPLIT PEAS,AUSTRALIA,884.104176,DJIBOUTI (DJIBOUTI),128,<JIJIGA>,78.8181,Somali,75.01248242,23.45,13.77048,1203.155238
SPLIT PEAS,AUSTRALIA,884.104176,DJIBOUTI (DJIBOUTI),128,<JIJIGA>,78.8181,KEBRIBAYA,9.293608455,23.45,13.77048,1137.436364
